modelo,categoria,nombre,image_url,product_page_url,source_url,description,key_facts,catalogo,estudio_de_caso,manual_de_instrucciones,modelo_especifico,numero_de_articulo,Rango de temperatura,Desviación de temperatura a 37 °C,Fluctuación de la temperatura a 37 °C,Tiempo de calentamiento a 37 °C,Tensión nominal,Frecuencia de red,Potencia nominal,Fusible del equipo,Fase (tensión nominal),Puertas exteriores,Cantidad de bandejas (est./máx.),Desviación de temperatura a 100 °C,Fluctuación de la temperatura a 100 °C,Tiempo de calentamiento a 100 °C,Tiempo de recuperación tras 30 s con la puerta abierta a 37 °C,Puertas interiores,Nivel de presión acústica,Consumo energético a 100 °C,Consumo energético a 37 °C,Compensación de calor máxima a 37 °C,Compensación de calor máxima a 40 °C,Rango de humedad,Rango de CO₂,Tecnología de medición de CO₂,Tiempo de recuperación de CO₂ tras 30 s con la puerta abierta y un 5 % de vol. de CO₂,Rango de regulación de O₂ estándar,Rango de regulación de O₂ por opción: rango de O₂,Tiempo de recuperación de O₂ tras 30 s con la puerta abierta y un 5 % de vol. de O₂,Desviación de temperatura a -80 °C,Fluctuación de la temperatura a -80 °C,Tiempo de refrigeración de 22 °C a -80 °C,Energieverbrauch bei Sollwert -80 °C und Tᵤ = 20 °C,Bastidores por nivel,Tiempo de calentamiento a 150 °C,Tiempo de recuperación tras 30 s con la puerta abierta a 150 °C,Desviación de temperatura a 150 °C,Fluctuación de la temperatura a 150 °C,Tasa de intercambio de aire a 100 °C,Consumo energético a 150 °C,Tasa de intercambio de aire a 150 °C,Rango de temperatura con humedad,Desviación de temperatura a 25 °C y 60 % h.r.,Desviación de temperatura a 40 °C y 75 % h.r.,Fluctuación de la temperatura a 25 °C y 60 % h.r.,Fluctuación de la temperatura a 40 °C y 75 % h.r.,Tiempo de recuperación tras 30 s con la puerta abierta a 25 °C y 60 % de h.r.,Tiempo de recuperación tras 30 s con la puerta abierta a 40 °C y 75 % de h.r.,Consumo energético a 25 °C y 60 % h.r.,Consumo energético a 40 °C y 75 % h.r.,Consumo energético a 85 °C y 85 % h.r.,Desviación de temperatura en el espacio en función del valor de consigna,Fluctuación de la temperatura en función del valor de consigna,Velocidad media de calentamiento según IEC 60068-3-5,Tiempo de refrigeración de 180 °C a -40 °C,Velocidad media de refrigeración según IEC 60068-3-5,Consumo energético a 20 °C,Fluctuación de la temperatura con humedad en función del valor de consigna,Desviación momentánea de la humedad con humedad en función del valor de consigna,Compensación de calor máxima a 25 °C y 90 % h.r.,Tiempo de refrigeración de 180 °C a -70 °C
KB ECO 240,incubadoras-refrigeradas,Modelo KB ECO 240 | Incubadoras refrigeradas con tecnología Peltier respetuosa con el medioambiente,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/KB-ECO-240-cooling-incubator-GF_Web_670x515.jpg?v=20241220023013,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/kb-eco-240,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/lista-productos-incubadoras-refrigeradas,"La KB ECO es una de las incubadoras refrigeradas con mayor eficiencia energética del mercado gracias a la tecnología Peltier patentada con disipación de calor. Además, la tecnología Peltier hace que la serie KB ECO sea especialmente silenciosa.","Rango de temperatura:
entre 0 °C y +70 °C (máx. 28 °C por debajo de la temperatura ambiente)|Tecnología de cámara de precalentamiento APT.line™|Regulación eléctrica de la temperatura mediante módulo Peltier con disipación de calor de nueva generación|Puerta interior de vidrio de seguridad|Cámara interna completamente fabricada en acero inoxidable|2 rejillas de acero inoxidable|Protección antirrocío ajustable|Puerto de acceso con tapones de silicona Ø 30 mm|Pantalla LCD para visualizar la temperatura, así como información adicional y alarmas|Registro interno de datos, valores de medición en formato abierto, seleccionables a través de USB|Prueba automática del equipo para un completo análisis del estado|Interfaz de ordenador:
Ethernet",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/15968,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/15975,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/15982,KBECO240UL-120V,9020-0426,(máx. 28 °C por debajo de la temperatura ambiente) 0...70 °C,"0,1 ± K","0,1 ± K",,100...120 V,50/60 Hz,"0,9 kW","16,0 A",1~,1,2/9,,,,3 min,1,43 dB(A),,65 Wh/h,,350 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB ECO 400,incubadoras-refrigeradas,Modelo KB ECO 400 | Incubadoras refrigeradas con tecnología Peltier respetuosa con el medioambiente,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/KB-ECO-400-cooling-incubator-GF_Web_670x515.jpg?v=20241220023014,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/kb-eco-400,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/lista-productos-incubadoras-refrigeradas,"La KB ECO es una de las incubadoras refrigeradas con mayor eficiencia energética del mercado gracias a la tecnología Peltier patentada con disipación de calor. Además, la tecnología Peltier hace que la serie KB ECO sea especialmente silenciosa.","Rango de temperatura:
entre 0 °C y +70 °C (máx. 28 °C por debajo de la temperatura ambiente)|Tecnología de cámara de precalentamiento APT.line™|Regulación eléctrica de la temperatura mediante módulo Peltier con disipación de calor de nueva generación|Puerta interior de vidrio de seguridad|Cámara interna completamente fabricada en acero inoxidable|2 rejillas de acero inoxidable|Protección antirrocío ajustable|Puerto de acceso con tapones de silicona Ø 30 mm|Pantalla LCD para visualizar la temperatura, así como información adicional y alarmas|Registro interno de datos, valores de medición en formato abierto, seleccionables a través de USB|Prueba automática del equipo para un completo análisis del estado|Interfaz de ordenador:
Ethernet",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/16025,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/16032,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/16039,KBECO400-230V,9020-0465,(máx. 28 °C por debajo de la temperatura ambiente) 0...70 °C,"0,1 ± K","0,1 ± K",,200...230 V,50/60 Hz,"1,2 kW","16,0 A",1~,1,2/15,,,,6 min,1,43 dB(A),,70 Wh/h,,350 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB ECO 400,incubadoras-refrigeradas,Modelo KB ECO 400 | Incubadoras refrigeradas con tecnología Peltier respetuosa con el medioambiente,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/KB-ECO-400-cooling-incubator-GF_Web_670x515.jpg?v=20241220023014,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/kb-eco-400,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/lista-productos-incubadoras-refrigeradas,"La KB ECO es una de las incubadoras refrigeradas con mayor eficiencia energética del mercado gracias a la tecnología Peltier patentada con disipación de calor. Además, la tecnología Peltier hace que la serie KB ECO sea especialmente silenciosa.","Rango de temperatura:
entre 0 °C y +70 °C (máx. 28 °C por debajo de la temperatura ambiente)|Tecnología de cámara de precalentamiento APT.line™|Regulación eléctrica de la temperatura mediante módulo Peltier con disipación de calor de nueva generación|Puerta interior de vidrio de seguridad|Cámara interna completamente fabricada en acero inoxidable|2 rejillas de acero inoxidable|Protección antirrocío ajustable|Puerto de acceso con tapones de silicona Ø 30 mm|Pantalla LCD para visualizar la temperatura, así como información adicional y alarmas|Registro interno de datos, valores de medición en formato abierto, seleccionables a través de USB|Prueba automática del equipo para un completo análisis del estado|Interfaz de ordenador:
Ethernet",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/16025,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/16032,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/16039,KBECO400UL-120V,9020-0466,(máx. 28 °C por debajo de la temperatura ambiente) 0...70 °C,"0,1 ± K","0,1 ± K",,100...120 V,50/60 Hz,"1,2 kW","16,0 A",1~,1,2/15,,,,6 min,1,43 dB(A),,70 Wh/h,,350 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB ECO 720,incubadoras-refrigeradas,Modelo KB ECO 720 | Incubadoras refrigeradas con tecnología Peltier respetuosa con el medioambiente,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/KB-ECO-720-cooling-incubator-GF_Web_670x515.jpg?v=20241220023014,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/kb-eco-720,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/lista-productos-incubadoras-refrigeradas,"La KB ECO es una de las incubadoras refrigeradas con mayor eficiencia energética del mercado gracias a la tecnología Peltier patentada con disipación de calor. Además, la tecnología Peltier hace que la serie KB ECO sea especialmente silenciosa.","Rango de temperatura:
entre 0 °C y +70 °C (máx. 26 °C por debajo de la temperatura ambiente)|Tecnología de cámara de precalentamiento APT.line™|Regulación eléctrica de la temperatura mediante módulo Peltier con disipación de calor de nueva generación|Puerta interior de vidrio de seguridad|Cámara interna completamente fabricada en acero inoxidable|2 rejillas de acero inoxidable|Protección antirrocío ajustable|Puerto de acceso con tapones de silicona Ø 30 mm|Pantalla LCD para visualizar la temperatura, así como información adicional y alarmas|Registro interno de datos, valores de medición en formato abierto, seleccionables a través de USB|Prueba automática del equipo para un completo análisis del estado|Interfaz de ordenador:
Ethernet",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/16082,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/16089,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/16096,KBECO720-230V,9020-0424,(máx. 26 °C por debajo de la temperatura ambiente) 0...70 °C,"0,1 ± K","0,1 ± K",,200...230 V,50/60 Hz,"1,3 kW","16,0 A",1~,2,2/15,,,,4 min,2,47 dB(A),,105 Wh/h,,500 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB ECO 720,incubadoras-refrigeradas,Modelo KB ECO 720 | Incubadoras refrigeradas con tecnología Peltier respetuosa con el medioambiente,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/KB-ECO-720-cooling-incubator-GF_Web_670x515.jpg?v=20241220023014,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/kb-eco-720,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/lista-productos-incubadoras-refrigeradas,"La KB ECO es una de las incubadoras refrigeradas con mayor eficiencia energética del mercado gracias a la tecnología Peltier patentada con disipación de calor. Además, la tecnología Peltier hace que la serie KB ECO sea especialmente silenciosa.","Rango de temperatura:
entre 0 °C y +70 °C (máx. 26 °C por debajo de la temperatura ambiente)|Tecnología de cámara de precalentamiento APT.line™|Regulación eléctrica de la temperatura mediante módulo Peltier con disipación de calor de nueva generación|Puerta interior de vidrio de seguridad|Cámara interna completamente fabricada en acero inoxidable|2 rejillas de acero inoxidable|Protección antirrocío ajustable|Puerto de acceso con tapones de silicona Ø 30 mm|Pantalla LCD para visualizar la temperatura, así como información adicional y alarmas|Registro interno de datos, valores de medición en formato abierto, seleccionables a través de USB|Prueba automática del equipo para un completo análisis del estado|Interfaz de ordenador:
Ethernet",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/16082,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/16089,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/16096,KBECO720UL-120V,9020-0427,(máx. 26 °C por debajo de la temperatura ambiente) 0...70 °C,"0,1 ± K","0,1 ± K",,100...120 V,50/60 Hz,"1,3 kW","16,0 A",1~,2,2/15,,,,4 min,2,47 dB(A),,105 Wh/h,,500 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB ECO 1020,incubadoras-refrigeradas,Modelo KB ECO 1020 | Incubadoras refrigeradas con tecnología Peltier respetuosa con el medioambiente,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/KB-ECO-1020-cooling-incubator-GF_Web_670x515.jpg?v=20241220023024,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/kb-eco-1020,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/lista-productos-incubadoras-refrigeradas,"La KB ECO es una de las incubadoras refrigeradas con mayor eficiencia energética del mercado gracias a la tecnología Peltier patentada con disipación de calor. Además, la tecnología Peltier hace que la serie KB ECO sea especialmente silenciosa.","Rango de temperatura:
entre 0 °C y +70 °C (máx. 26 °C por debajo de la temperatura ambiente)|Tecnología de cámara de precalentamiento APT.line™|Regulación eléctrica de la temperatura mediante módulo Peltier con disipación de calor de nueva generación|Puerta interior de vidrio de seguridad|Cámara interna completamente fabricada en acero inoxidable|2 rejillas de acero inoxidable|Protección antirrocío ajustable|Puerto de acceso con tapones de silicona Ø 30 mm|Pantalla LCD para visualizar la temperatura, así como información adicional y alarmas|Registro interno de datos, valores de medición en formato abierto, seleccionables a través de USB|Prueba automática del equipo para un completo análisis del estado|Interfaz de ordenador:
Ethernet",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/18229,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/18236,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/18243,KBECO1020-230V,9020-0425,(máx. 26 °C por debajo de la temperatura ambiente) 0...70 °C,"0,1 ± K","0,1 ± K",,200...230 V,50/60 Hz,"1,3 kW","16,0 A",1~,2,2/15,,,,4 min,2,47 dB(A),,105 Wh/h,,500 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB ECO 1020,incubadoras-refrigeradas,Modelo KB ECO 1020 | Incubadoras refrigeradas con tecnología Peltier respetuosa con el medioambiente,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/KB-ECO-1020-cooling-incubator-GF_Web_670x515.jpg?v=20241220023024,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/kb-eco-1020,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/lista-productos-incubadoras-refrigeradas,"La KB ECO es una de las incubadoras refrigeradas con mayor eficiencia energética del mercado gracias a la tecnología Peltier patentada con disipación de calor. Además, la tecnología Peltier hace que la serie KB ECO sea especialmente silenciosa.","Rango de temperatura:
entre 0 °C y +70 °C (máx. 26 °C por debajo de la temperatura ambiente)|Tecnología de cámara de precalentamiento APT.line™|Regulación eléctrica de la temperatura mediante módulo Peltier con disipación de calor de nueva generación|Puerta interior de vidrio de seguridad|Cámara interna completamente fabricada en acero inoxidable|2 rejillas de acero inoxidable|Protección antirrocío ajustable|Puerto de acceso con tapones de silicona Ø 30 mm|Pantalla LCD para visualizar la temperatura, así como información adicional y alarmas|Registro interno de datos, valores de medición en formato abierto, seleccionables a través de USB|Prueba automática del equipo para un completo análisis del estado|Interfaz de ordenador:
Ethernet",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/18229,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/18236,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/18243,KBECO1020UL-120V,9020-0428,(máx. 26 °C por debajo de la temperatura ambiente) 0...70 °C,"0,1 ± K","0,1 ± K",,100...120 V,50/60 Hz,"1,3 kW","16,0 A",1~,2,2/15,,,,4 min,2,47 dB(A),,105 Wh/h,,500 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KT 53,incubadoras-refrigeradas,Modelo KT 53 | Incubadoras refrigeradas con tecnología Peltier,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/KT_053_GF_Web_670x515.jpg?v=20241220023019,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/kt-53,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/lista-productos-incubadoras-refrigeradas,La serie KT combina unas prestaciones excelentes con una eficiencia energética y un respeto al medio ambiente impresionantes. La serie KT es la más avanzada en términos de aplicación y protección de las muestras.,"Rango de temperatura:
de 4 °C a 100 °C|Tecnología de cámara de precalentamiento APT.line™|Velocidad del ventilador ajustable|Sistema de refrigeración eléctrico mediante módulo Peltier|Controlador con programación de períodos y en tiempo real|Visualización a través de monitor LCD|Introducción de datos a través de pulsador giratorio|Puerta interior de vidrio de seguridad (ESG)|2 rejillas de acero inoxidable|Posibilidad de apilamiento|Controlador de selección de temperatura clase 3.1 (DIN 12880) con alarma de temperatura óptica y acústica|Interfaz de ordenador:
Ethernet|Registro de datos de medición e interfaz USB",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17117,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17124,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17131,KT053-230V,9020-0311,4...100 °C,"0,3 ± K","0,1 ± K",,200...240 V,50/60 Hz,"0,4 kW","10,0 A",1~,1,2/5,,,,2 min,1,48 dB(A),,75 Wh/h,,100 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KT 53,incubadoras-refrigeradas,Modelo KT 53 | Incubadoras refrigeradas con tecnología Peltier,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/KT_053_GF_Web_670x515.jpg?v=20241220023019,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/kt-53,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/lista-productos-incubadoras-refrigeradas,La serie KT combina unas prestaciones excelentes con una eficiencia energética y un respeto al medio ambiente impresionantes. La serie KT es la más avanzada en términos de aplicación y protección de las muestras.,"Rango de temperatura:
de 4 °C a 100 °C|Tecnología de cámara de precalentamiento APT.line™|Velocidad del ventilador ajustable|Sistema de refrigeración eléctrico mediante módulo Peltier|Controlador con programación de períodos y en tiempo real|Visualización a través de monitor LCD|Introducción de datos a través de pulsador giratorio|Puerta interior de vidrio de seguridad (ESG)|2 rejillas de acero inoxidable|Posibilidad de apilamiento|Controlador de selección de temperatura clase 3.1 (DIN 12880) con alarma de temperatura óptica y acústica|Interfaz de ordenador:
Ethernet|Registro de datos de medición e interfaz USB",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17117,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17124,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17131,KT053UL-120V,9020-0312,4...100 °C,"0,3 ± K","0,1 ± K",,100...120 V,50/60 Hz,"0,4 kW","10,0 A",1~,1,2/5,,,,2 min,1,48 dB(A),,75 Wh/h,,100 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KT 115,incubadoras-refrigeradas,Modelo KT 115 | Incubadoras refrigeradas con tecnología Peltier,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/KT_115_GF_Web_670x515.jpg?v=20241220023019,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/kt-115,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/lista-productos-incubadoras-refrigeradas,La serie KT combina unas prestaciones excelentes con una eficiencia energética y un respeto al medio ambiente impresionantes. La serie KT es la más avanzada en términos de aplicación y protección de las muestras.,"Rango de temperatura:
de 4 °C a 100 °C|Tecnología de cámara de precalentamiento APT.line™|Velocidad del ventilador ajustable|Sistema de refrigeración eléctrico mediante módulo Peltier|Controlador con programación de períodos y en tiempo real|Visualización a través de monitor LCD|Introducción de datos través de pulsador giratorio|Puerta interior de vidrio de seguridad (ESG)|2 rejillas de acero inoxidable|Posibilidad de apilamiento|Controlador de selección de temperatura clase 3.1 (DIN 12880) con alarma de temperatura óptica y acústica|Interfaz de ordenador:
Ethernet|Registro de datos de medición e interfaz USB",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17167,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17174,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17181,KT115-230V,9020-0313,4...100 °C,"0,3 ± K","0,1 ± K",,200...240 V,50/60 Hz,"0,7 kW","10,0 A",1~,1,2/6,,,,3 min,1,48 dB(A),,75 Wh/h,,100 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KT 115,incubadoras-refrigeradas,Modelo KT 115 | Incubadoras refrigeradas con tecnología Peltier,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/KT_115_GF_Web_670x515.jpg?v=20241220023019,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/kt-115,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/lista-productos-incubadoras-refrigeradas,La serie KT combina unas prestaciones excelentes con una eficiencia energética y un respeto al medio ambiente impresionantes. La serie KT es la más avanzada en términos de aplicación y protección de las muestras.,"Rango de temperatura:
de 4 °C a 100 °C|Tecnología de cámara de precalentamiento APT.line™|Velocidad del ventilador ajustable|Sistema de refrigeración eléctrico mediante módulo Peltier|Controlador con programación de períodos y en tiempo real|Visualización a través de monitor LCD|Introducción de datos través de pulsador giratorio|Puerta interior de vidrio de seguridad (ESG)|2 rejillas de acero inoxidable|Posibilidad de apilamiento|Controlador de selección de temperatura clase 3.1 (DIN 12880) con alarma de temperatura óptica y acústica|Interfaz de ordenador:
Ethernet|Registro de datos de medición e interfaz USB",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17167,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17174,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17181,KT115UL-120V,9020-0314,4...100 °C,"0,3 ± K","0,1 ± K",,100...120 V,50/60 Hz,"0,7 kW","10,0 A",1~,1,2/6,,,,3 min,1,48 dB(A),,75 Wh/h,,100 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KT 170,incubadoras-refrigeradas,Modelo KT 170 | Incubadoras refrigeradas con tecnología Peltier,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/KT_170_GF_Web_670x515.jpg?v=20241220023020,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/kt-170,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/lista-productos-incubadoras-refrigeradas,La serie KT combina unas prestaciones excelentes con una eficiencia energética y un respeto al medio ambiente impresionantes. La serie KT es la más avanzada en términos de aplicación y protección de las muestras.,"Rango de temperatura:
de 4 °C a 100 °C|Tecnología de cámara de precalentamiento APT.line™|Velocidad del ventilador ajustable|Sistema de refrigeración eléctrico mediante módulo Peltier|Controlador con programación de períodos y en tiempo real|Visualización a través de monitor LCD|Introducción de datos a través de pulsador giratorio|Puerta interior de vidrio de seguridad (ESG)|2 rejillas de acero inoxidable|Posibilidad de apilamiento con KT 115|Controlador de selección de temperatura clase 3.1 (DIN 12880) con alarma de temperatura óptica y acústica|Interfaz de ordenador:
Ethernet|Registro de datos de medición e interfaz USB",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17217,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17224,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17231,KT170-230V,9020-0289,4...100 °C,"0,4 ± K","0,1 ± K",,200...240 V,50/60 Hz,"0,8 kW","10,0 A",1~,1,2/10,,,,3 min,1,48 dB(A),,80 Wh/h,,100 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KT 170,incubadoras-refrigeradas,Modelo KT 170 | Incubadoras refrigeradas con tecnología Peltier,https://www.binder-world.com/contentserv/assets/es/1_main_image_GF/KT_170_GF_Web_670x515.jpg?v=20241220023020,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/kt-170,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/lista-productos-incubadoras-refrigeradas,La serie KT combina unas prestaciones excelentes con una eficiencia energética y un respeto al medio ambiente impresionantes. La serie KT es la más avanzada en términos de aplicación y protección de las muestras.,"Rango de temperatura:
de 4 °C a 100 °C|Tecnología de cámara de precalentamiento APT.line™|Velocidad del ventilador ajustable|Sistema de refrigeración eléctrico mediante módulo Peltier|Controlador con programación de períodos y en tiempo real|Visualización a través de monitor LCD|Introducción de datos a través de pulsador giratorio|Puerta interior de vidrio de seguridad (ESG)|2 rejillas de acero inoxidable|Posibilidad de apilamiento con KT 115|Controlador de selección de temperatura clase 3.1 (DIN 12880) con alarma de temperatura óptica y acústica|Interfaz de ordenador:
Ethernet|Registro de datos de medición e interfaz USB",https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17217,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17224,https://www.binder-world.com/int-es/productos/incubadoras/incubadoras-refrigeradas/producto/asset/17231,KT170UL-120V,9020-0310,4...100 °C,"0,4 ± K","0,1 ± K",,100...120 V,50/60 Hz,"0,8 kW","10,0 A",1~,1,2/10,,,,3 min,1,48 dB(A),,80 Wh/h,,100 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
